Date;Symbol;StartDate;EndDate;Offer;Close;Change;Std;Volume;Amount;MktCap
24/09/2014;CYBR;;;16;29,93;87,06 %;;;;
09/05/2013;CYNI;;;11;11,14;1,27 %;;;;
08/02/2012;CZR;;;9;15,39;71,00 %;;;;
08/12/2010;DANG;;;16;29,91;86,94 %;;;;
17/05/2013;DATA;;;31;50,75;63,71 %;;;;
11/05/2011;DATE;;;11;10,52;-4,36 %;;;;
17/04/2012;DCIN;;;6,1;6,17;1,15 %;;;;
06/02/2015;DEA;;;15;15,5;3,33 %;;;;
03/10/2014;DERM;;;16;15,55;-2,81 %;;;;
27/07/2012;DFRG;;;13;13;0,00 %;;;;
02/11/2012;DKL;;;21;22,35;6,43 %;;;;
13/11/2013;DLNG;;;18;18;0,00 %;;;;
17/11/2011;DLPH;;;22;21,33;-3,05 %;;;;
20/11/2015;DLTH;;;12;13,36;11,33 %;;;;
15/10/2014;DM;;;21;26,41;25,76 %;;;;
16/07/2015;DNAI;;;17;30,8;81,18 %;;;;
27/07/2011;DNKN;;;19;27,85;46,58 %;;;;
10/10/2014;DPLO;;;13;16,02;23,23 %;;;;
07/10/2010;DQ;;;9,5;10,25;7,89 %;;;;
19/07/2013;DRII;;;14;16,15;15,36 %;;;;
30/01/2014;DRNA;;;15;46;206,67 %;;;;
19/07/2012;DRTX;;;9;9,04;0,44 %;;;;
07/08/2014;DSKY;;;15;16,1;7,33 %;;;;
05/06/2015;DTEA;;;19;27;42,11 %;;;;
15/03/2012;DWRE;;;16;23,85;49,06 %;;;;
06/08/2014;EARS;;;6;6;0,00 %;;;;
06/02/2014;EBIO;;;10;10,85;8,50 %;;;;
08/10/2014;ECC;;;20;19,16;-4,20 %;;;;
23/05/2013;ECOM;;;14;18,44;31,71 %;;;;
20/06/2014;ECR;;;27;25,75;-4,63 %;;;;
04/02/2011;ECYT;;;6;7,73;28,83 %;;;;
27/04/2012;EDG;;;11;9,5;-13,64 %;;;;
01/10/2015;EDGE;;;11;12,94;17,64 %;;;;
08/10/2010;EFC;;;22,5;21,75;-3,33 %;;;;
06/02/2014;EGLT;;;12;12;0,00 %;;;;
12/02/2014;EGRX;;;15;12,83;-14,47 %;;;;
17/11/2014;EHIC;;;12;11,7;-2,50 %;;;;
25/10/2013;EIGI;;;12;11,25;-6,25 %;;;;
15/04/2011;ELLI;;;6;6,77;12,83 %;;;;
02/08/2012;ELOQ;;;11,5;12,89;12,09 %;;;;
09/05/2013;EMES;;;17;16,55;-2,65 %;;;;
11/04/2014;ENBL;;;20;22,2;11,00 %;;;;
30/03/2012;ENPH;;;6;7,34;22,33 %;;;;
21/03/2013;ENTA;;;14;17,18;22,71 %;;;;
29/01/2015;ENTL;;;17;22;29,41 %;;;;
29/07/2010;ENV;;;9;10,23;13,67 %;;;;
27/09/2013;ENZY;;;14;18,16;29,71 %;;;;
26/07/2012;EOPN;;;15;13,6;-9,33 %;;;;
08/02/2012;EPAM;;;12;14;16,67 %;;;;
17/01/2014;EPE;;;20;18,08;-9,60 %;;;;
02/02/2011;EPOC;;;16;21,96;37,25 %;;;;
31/05/2013;EPZM;;;15;22,99;53,27 %;;;;
11/11/2015;EQBK;;;22,5;23,89;6,18 %;;;;
12/05/2015;EQGP;;;27;32,96;22,07 %;;;;
27/06/2012;EQM;;;21;23,75;13,10 %;;;;
31/10/2013;ESNT;;;17;21;23,53 %;;;;
26/06/2013;ESPR;;;15;14,5;-3,33 %;;;;
22/03/2012;ET;;;19;25,11;32,16 %;;;;
16/04/2015;ETSY;;;16;30;87,50 %;;;;
29/04/2015;EVA;;;20;21,5;7,50 %;;;;
11/05/2012;EVAC;;;8;8,75;9,38 %;;;;
28/03/2014;EVDY;;;14;13,5;-3,57 %;;;;
03/05/2012;EVER;;;10;10,6;6,00 %;;;;
05/06/2015;EVH;;;17;18,86;10,94 %;;;;
25/09/2013;EVOK;;;12;11,74;-2,17 %;;;;
12/04/2013;EVTC;;;20;20,44;2,20 %;;;;
28/06/2012;EXA;;;10;9,98;-0,20 %;;;;
28/10/2010;EXAM;;;16;16,8;5,00 %;;;;
13/05/2010;EXPR;;;17;16,75;-1,47 %;;;;
